"","GEO_ID","NAME","education","gini","med_income","poverty","county","state","hiv_rate","cluster","county_long"
"1090","0500000US21191","Pendleton County, Kentucky",83.4,0.4416,57619,17.4,"Pendleton","Kentucky",57,4,"Pendleton County"
"1091","0500000US21193","Perry County, Kentucky",77.8,0.5218,40577,20.2,"Perry","Kentucky",107,4,"Perry County"
"1092","0500000US21195","Pike County, Kentucky",78.9,0.5116,36910,25,"Pike","Kentucky",51,4,"Pike County"
"1093","0500000US21197","Powell County, Kentucky",82,0.4632,39493,21,"Powell","Kentucky",55,4,"Powell County"
"1094","0500000US21199","Pulaski County, Kentucky",83.4,0.5192,42652,22.6,"Pulaski","Kentucky",74,4,"Pulaski County"
"1095","0500000US21201","Robertson County, Kentucky",84.7,0.501,53833,28.2,"Robertson","Kentucky",2,4,"Robertson County"
"1096","0500000US21203","Rockcastle County, Kentucky",80.4,0.508,40406,22,"Rockcastle","Kentucky",58,4,"Rockcastle County"
"1097","0500000US21205","Rowan County, Kentucky",86.9,0.5107,45681,27.1,"Rowan","Kentucky",98,4,"Rowan County"
"1098","0500000US21207","Russell County, Kentucky",81.9,0.4487,41851,21.6,"Russell","Kentucky",33,4,"Russell County"
"1099","0500000US21209","Scott County, Kentucky",93.6,0.4039,73113,9.8,"Scott","Kentucky",95,1,"Scott County"
"1100","0500000US21211","Shelby County, Kentucky",87.1,0.4351,73974,9.7,"Shelby","Kentucky",142,1,"Shelby County"
"1101","0500000US21213","Simpson County, Kentucky",89.5,0.4049,53420,12.4,"Simpson","Kentucky",110,1,"Simpson County"
"1102","0500000US21215","Spencer County, Kentucky",92.1,0.3822,92973,8.2,"Spencer","Kentucky",3,3,"Spencer County"
"1103","0500000US21217","Taylor County, Kentucky",87.1,0.4431,56890,16.6,"Taylor","Kentucky",46,2,"Taylor County"
"1104","0500000US21219","Todd County, Kentucky",79.2,0.4789,54823,21.1,"Todd","Kentucky",131,4,"Todd County"
"1105","0500000US21221","Trigg County, Kentucky",88.9,0.4425,53693,14.8,"Trigg","Kentucky",83,2,"Trigg County"
"1106","0500000US21223","Trimble County, Kentucky",83.9,0.4158,62125,17.7,"Trimble","Kentucky",0,1,"Trimble County"
"1107","0500000US21225","Union County, Kentucky",91.3,0.4057,50533,18.2,"Union","Kentucky",109,1,"Union County"
"1108","0500000US21227","Warren County, Kentucky",87.8,0.489,57625,17.4,"Warren","Kentucky",155,2,"Warren County"
"1109","0500000US21229","Washington County, Kentucky",86.7,0.4309,59049,14.6,"Washington","Kentucky",139,1,"Washington County"
"1110","0500000US21231","Wayne County, Kentucky",77.2,0.4989,41237,22.2,"Wayne","Kentucky",96,4,"Wayne County"
"1111","0500000US21233","Webster County, Kentucky",85.2,0.4462,47051,20.6,"Webster","Kentucky",10,4,"Webster County"
"1112","0500000US21235","Whitley County, Kentucky",82.5,0.472,41817,20.8,"Whitley","Kentucky",27,4,"Whitley County"
"1113","0500000US21237","Wolfe County, Kentucky",65.9,0.4121,24349,36.1,"Wolfe","Kentucky",1,5,"Wolfe County"
"1114","0500000US21239","Woodford County, Kentucky",91.8,0.4057,72765,10.3,"Woodford","Kentucky",118,1,"Woodford County"
"1115","0500000US22001","Acadia Parish, Louisiana",80.3,0.4756,42368,23.5,"Acadia","Louisiana",531,4,"Acadia Parish"
"1116","0500000US22003","Allen Parish, Louisiana",79.8,0.4603,47660,15.4,"Allen","Louisiana",1088,4,"Allen Parish"
"1117","0500000US22005","Ascension Parish, Louisiana",88.7,0.4132,86256,10,"Ascension","Louisiana",271,3,"Ascension Parish"
"1118","0500000US22007","Assumption Parish, Louisiana",76.8,0.4907,42831,18.5,"Assumption","Louisiana",722,4,"Assumption Parish"
"1119","0500000US22009","Avoyelles Parish, Louisiana",76.6,0.5051,37903,23.7,"Avoyelles","Louisiana",768,4,"Avoyelles Parish"
